# Una scusa per riga.
# Usa i tag [1], [2], [3] per indicare il livello di credibilità:
# [1] Plausibile • [2] Molto plausibile • [3] Quasi inattaccabile
# Ogni riga è già pronta da inviare: inizia con "Buongiorno capo,".
# Le righe vuote e quelle che iniziano con # vengono ignorate.

[1] Buongiorno capo, purtroppo mi sono svegliato con febbre e dolori. Oggi non riesco a venire in ufficio, resto a riposo.
[2] Buongiorno capo, la batteria dell’auto è a terra e devo sistemarla prima di muovermi. Oggi non riesco a venire.
[2] Buongiorno capo, sono rimasto bloccato nel traffico per un incidente e non riesco ad arrivare. Oggi non riesco a essere presente.
[2] Buongiorno capo, il treno è stato soppresso/ha accumulato un ritardo importante e non riesco ad arrivare in tempo. Oggi non potrò venire.
[2] Buongiorno capo, ci sono disservizi sulla linea e non riesco a raggiungere l’ufficio stamattina. Oggi non riesco a essere presente.
[2] Buongiorno capo, ho un imprevisto con scuola/asilo e devo intervenire subito. Oggi non potrò esserci.
[2] Buongiorno capo, mi hanno chiamato da scuola/asilo: devo andare a prendere mio figlio. Mi scuso, oggi devo assentarmi.
[2] Buongiorno capo, devo accompagnare un familiare a una visita e non ho alternative oggi. Oggi non potrò venire.
[2] Buongiorno capo, ho un’urgenza burocratica con scadenza oggi e devo andare allo sportello. Oggi non riesco a venire.
[2] Buongiorno capo, devo fare denuncia per documenti smarriti e gli orari sono solo al mattino. Oggi devo assentarmi.
[2] Buongiorno capo, ho un appuntamento urgente in banca/ufficio per una pratica non rimandabile. Oggi non riesco a essere presente.
[2] Buongiorno capo, devo firmare dei documenti oggi e posso farlo solo in fascia mattutina. Oggi devo assentarmi.
[2] Buongiorno capo, ho un colloquio/appuntamento fissato da tempo e non posso spostarlo. Oggi non potrò esserci.
[2] Buongiorno capo, devo ritirare un pacco in giacenza entro oggi o torna indietro. Oggi non riesco a venire.
[2] Buongiorno capo, ho una consegna importante e devo essere in casa per il ritiro. Oggi non potrò venire.
[2] Buongiorno capo, sto aspettando una consegna con firma e la fascia oraria è vincolata. Oggi devo assentarmi.
[2] Buongiorno capo, ho un problema con il condominio (perdita/guasto) e devo essere presente all’intervento. Oggi non riuscirò a venire.
[2] Buongiorno capo, ho un problema con il contatore/utenze e oggi devo ricevere il tecnico. Oggi non potrò essere presente.
[2] Buongiorno capo, non ho corrente in casa e sto aspettando assistenza/ripristino. Oggi non riesco a venire.
[2] Buongiorno capo, la linea Internet è giù e il gestore ha fissato l’intervento oggi. Oggi potrei non riuscire a essere operativo.
[2] Buongiorno capo, ho sintomi influenzali e preferisco restare a casa per evitare contagi. Oggi non potrò venire.
[2] Buongiorno capo, ho mal di schiena forte e oggi devo fare riposo/terapia. Oggi non riesco a essere presente.
[2] Buongiorno capo, ho un problema al ginocchio e devo fare accertamenti/visita. Oggi non potrò venire.
[2] Buongiorno capo, ho un’infiammazione e il medico mi ha dato appuntamento oggi. Oggi devo assentarmi.
[2] Buongiorno capo, ho bisogno di passare in farmacia e dal medico: oggi è l’unico slot disponibile. Oggi non riesco a venire.
[2] Buongiorno capo, ho un guasto alla porta/serratura e devo aspettare il fabbro. Oggi non potrò esserci.
[2] Buongiorno capo, sono rimasto chiuso fuori casa e sto risolvendo con fabbro/amministratore. Oggi non riesco a venire.
[2] Buongiorno capo, ho un problema urgente con l’assicurazione/auto e devo chiudere oggi di persona. Oggi non potrò venire.
[2] Buongiorno capo, ho un problema con il pagamento/bancomat e devo sistemare di persona. Oggi devo assentarmi.
[2] Buongiorno capo, ho un imprevisto con un animale domestico e devo portarlo dal veterinario. Oggi non riesco a venire.
[2] Buongiorno capo, devo accompagnare qualcuno a fare una visita/controllo urgente. Oggi non potrò esserci.
[2] Buongiorno capo, ho un controllo programmato e devo rispettare l’orario. Oggi non riesco a venire.

[3] Buongiorno capo, mi hanno dato un appuntamento in ambulatorio/guardia medica questa mattina. Oggi non riuscirò a venire; appena esco vi aggiorno.
[3] Buongiorno capo, ho una visita medica con certificazione e oggi devo necessariamente presentarmi. Se serve posso inviare il giustificativo.
[3] Buongiorno capo, ho analisi del sangue prenotate con appuntamento questa mattina e devo rispettare l’orario. Oggi non riesco a venire.
[3] Buongiorno capo, ho una visita specialistica prenotata da tempo e non mi hanno dato alternative. Oggi devo assentarmi; appena finisco vi aggiorno.
[3] Buongiorno capo, ho un controllo in ospedale già calendarizzato oggi e non posso spostarlo. Oggi non potrò essere presente.
[3] Buongiorno capo, sto attendendo un referto/esito di un controllo e oggi devo ritirarlo di persona. Oggi devo assentarmi.
[3] Buongiorno capo, ho un appuntamento ASL/ambulatorio con orario fissato e non riesco a spostarlo. Oggi non potrò venire.
[3] Buongiorno capo, mi hanno anticipato una visita/controllo e mi hanno inserito oggi come prima data utile. Oggi devo assentarmi.
[3] Buongiorno capo, devo accompagnare un familiare a una visita ospedaliera già fissata e devo essere presente. Oggi non riuscirò a venire.
[3] Buongiorno capo, ho un familiare con terapia/visita oggi e devo accompagnarlo io. Oggi devo assentarmi.
[3] Buongiorno capo, ho un imprevisto con la scuola/asilo che richiede la mia presenza oggi (mi hanno chiamato stamattina). Oggi non potrò venire.
[3] Buongiorno capo, mi hanno chiamato da scuola/asilo per un imprevisto e sto andando a gestire ora. Oggi devo assentarmi.
[3] Buongiorno capo, sono bloccato con l’assistenza stradale (pratica aperta) e finché non chiudono non riesco a muovermi. Oggi non riesco a venire.
[3] Buongiorno capo, ho il carro attrezzi/assistenza in arrivo e sono in attesa sul posto. Oggi non riesco a essere presente.
[3] Buongiorno capo, ho avuto un guasto all’auto e sono dal meccanico con tempi incerti. Oggi non credo di riuscire a venire.
[3] Buongiorno capo, sono rimasto fermo per un ingorgo/incidente importante e non riesco ad arrivare in tempi utili. Oggi non potrò esserci.
[3] Buongiorno capo, il treno è stato cancellato e la prossima corsa utile mi farebbe arrivare troppo tardi. Oggi non riesco a venire.
[3] Buongiorno capo, ho il tecnico (utenze/caldaia) in arrivo in fascia 8–12 e devo essere presente per l’intervento. Oggi non potrò essere in ufficio.
[3] Buongiorno capo, ho il tecnico della fibra in casa con intervento programmato e devo restare presente fino a chiusura lavoro. Oggi devo assentarmi.
[3] Buongiorno capo, ho un intervento idraulico urgente in corso e devo restare presente finché non chiudono il lavoro. Oggi non riuscirò a venire.
[3] Buongiorno capo, c’è una perdita condominiale e oggi c’è l’intervento: devo dare accesso e firmare il verbale. Oggi devo assentarmi.
[3] Buongiorno capo, ho l’elettricista in casa per un guasto e devo restare finché non ripristina. Oggi non potrò venire.
[3] Buongiorno capo, ho un guasto alla serratura e sto aspettando il fabbro: finché non risolve non posso muovermi. Oggi non riesco a venire.
[3] Buongiorno capo, sono rimasto chiuso fuori casa e sto aspettando fabbro/amministratore per l’accesso. Oggi non potrò essere presente.
[3] Buongiorno capo, ho un’urgenza documentale con scadenza oggi e appuntamento allo sportello su prenotazione. Oggi devo assentarmi.
[3] Buongiorno capo, ho un appuntamento in Questura/ufficio pubblico su prenotazione e non posso riprogrammarlo. Oggi non riesco a venire.
[3] Buongiorno capo, devo fare denuncia per smarrimento documenti e ho appuntamento allo sportello questa mattina. Oggi devo assentarmi.
[3] Buongiorno capo, ho un appuntamento in banca per una pratica vincolata (identificazione/firma) e devo presentarmi di persona. Oggi non potrò esserci.
[3] Buongiorno capo, ho una pratica notarile/firmataria fissata oggi e non riesco a spostarla. Oggi devo assentarmi.
[3] Buongiorno capo, ho un appuntamento per rinnovo/ritiro documenti con orario fissato. Oggi non riesco a essere presente.
[3] Buongiorno capo, ho una consegna con firma in fascia oraria vincolata e devo essere presente. Oggi non potrò venire.
[3] Buongiorno capo, sto aspettando un ritiro/consegna con firma in una finestra oraria vincolata. Oggi devo assentarmi.
[3] Buongiorno capo, ho la corrente saltata e l’assistenza è programmata oggi: finché non ripristinano non riesco a essere operativo. Oggi devo assentarmi.
[3] Buongiorno capo, la linea Internet è fuori servizio e il gestore ha fissato l’intervento oggi: senza ripristino non riesco a lavorare. Vi aggiorno appena torna.
[3] Buongiorno capo, ho un guasto al contatore/utenze e oggi passa il tecnico: devo essere presente per l’intervento. Oggi non riuscirò a venire.
[3] Buongiorno capo, ho un’urgenza veterinaria e devo portare l’animale in ambulatorio ora. Oggi devo assentarmi.
[3] Buongiorno capo, sono dal veterinario per un’urgenza e i tempi sono incerti. Oggi non riesco a essere presente.
[3] Buongiorno capo, ho un appuntamento per esami/visita con possibili tempi di attesa lunghi. Oggi non credo di riuscire a rientrare in tempi utili.
[3] Buongiorno capo, oggi devo ritirare un certificato/giustificativo dal medico e chiudere la pratica. Oggi non potrò essere presente.
[3] Buongiorno capo, dopo visita mi hanno prescritto riposo per oggi. Oggi devo assentarmi.
[3] Buongiorno capo, ho una terapia programmata con orario fisso oggi e non posso mancare. Oggi non riesco a venire.
[3] Buongiorno capo, devo accompagnare un familiare a un controllo già fissato e non ho alternative. Oggi devo assentarmi.
[3] Buongiorno capo, ho un imprevisto familiare serio da gestire oggi e non riesco a essere presente. Vi aggiorno appena possibile.
[3] Buongiorno capo, ho un’urgenza amministrativa con scadenza oggi e appuntamento fissato. Oggi non potrò venire.
[3] Buongiorno capo, sto gestendo un intervento urgente in casa con tecnico sul posto e devo restare presente fino a chiusura. Oggi devo assentarmi.
[3] Buongiorno capo, ho un controllo post-visita già fissato oggi e non riesco a spostarlo. Oggi non potrò venire.
[3] Buongiorno capo, devo partecipare a un sopralluogo/intervento condominiale urgente per una perdita e serve la mia presenza. Oggi non riesco a venire.
[3] Buongiorno capo, ho un appuntamento allo sportello su prenotazione per una pratica documentale e non posso spostarlo. Oggi devo assentarmi.
[3] Buongiorno capo, sto aspettando un intervento tecnico del gestore per un guasto: finché non ripristinano non riesco a collegarmi. Vi aggiorno appena risolto.
[3] Buongiorno capo, ho una visita di controllo urgente fissata stamattina e devo presentarmi di persona. Oggi non riuscirò a venire.
